TaskID,SiteID,SiteName,SiteAddress,Category,TaskName,Description,Status,Priority,AssignedTo,StartDate,DueDate,CompletedDate,Dependencies,Notes
T015,S1,Pizza Express Camden,14 Camden High St London NW1 0JH,Testing,Network Testing,Full network connectivity and performance testing,Complete,High,Mike Chen,2025-12-08,2025-12-10,2025-12-09,T013;T014,All tests passed
T016,S1,Pizza Express Camden,14 Camden High St London NW1 0JH,Testing,Security Audit,Penetration test and security validation,Complete,High,Sarah Jones,2025-12-10,2025-12-12,2025-12-12,T015,No vulnerabilities found
T017,S1,Pizza Express Camden,14 Camden High St London NW1 0JH,Handover,Client Sign-off,Customer acceptance and documentation handover,Complete,High,Mike Chen,2025-12-13,2025-12-15,2025-12-14,T016,Signed off by client
T018,S2,Pizza Express Shoreditch,56 Shoreditch High St London E1 6JJ,Planning,Site Survey,Initial site survey and measurements for network infrastructure,Complete,High,Mike Chen,2025-11-04,2025-11-08,2025-11-07,,Heritage building - extra considerations
T019,S2,Pizza Express Shoreditch,56 Shoreditch High St London E1 6JJ,Planning,Network Design,Design network topology and access point placement,Complete,High,Sarah Jones,2025-11-09,2025-11-15,2025-11-14,T018,Modified design for thick walls
T020,S2,Pizza Express Shoreditch,56 Shoreditch High St London E1 6JJ,Ordering,Order Switches,Procure Cisco Meraki MS120-8 switches x3,Complete,High,James Wilson,2025-11-11,2025-11-18,2025-11-17,T019,PO-2025-0901
T021,S2,Pizza Express Shoreditch,56 Shoreditch High St London E1 6JJ,Ordering,Order Access Points,Procure Cisco Meraki MR46 APs x8,Complete,High,James Wilson,2025-11-11,2025-11-18,2025-11-16,T019,Extra APs for thick walls PO-2025-0902
T022,S2,Pizza Express Shoreditch,56 Shoreditch High St London E1 6JJ,Ordering,Order Firewall,Procure Cisco Meraki MX68 firewall x1,Complete,High,James Wilson,2025-11-11,2025-11-18,2025-11-17,T019,PO-2025-0903
T023,S2,Pizza Express Shoreditch,56 Shoreditch High St London E1 6JJ,Ordering,Order Cabling,Cat6a cabling and trunking materials,Complete,Medium,James Wilson,2025-11-13,2025-11-20,2025-11-19,T018,600m Cat6a - longer runs needed
T024,S2,Pizza Express Shoreditch,56 Shoreditch High St London E1 6JJ,Installation,Cable Installation,Run Cat6a cabling to all AP and switch locations,Complete,High,Dave Brown,2025-11-25,2025-12-03,2025-12-02,T023,22 runs completed and certified
T025,S2,Pizza Express Shoreditch,56 Shoreditch High St London E1 6JJ,Installation,Mount Access Points,Install and mount all 8 access points,Complete,High,Dave Brown,2025-12-04,2025-12-06,2025-12-06,T021;T024,All APs mounted
T026,S2,Pizza Express Shoreditch,56 Shoreditch High St London E1 6JJ,Installation,Install Switches,Rack and install switches in comms cabinet,Complete,High,Dave Brown,2025-12-04,2025-12-06,2025-12-05,T020;T024,
T027,S2,Pizza Express Shoreditch,56 Shoreditch High St London E1 6JJ,Installation,Install Firewall,Install and connect MX68 firewall,Complete,High,Dave Brown,2025-12-04,2025-12-06,2025-12-06,T022;T026,
T028,S2,Pizza Express Shoreditch,56 Shoreditch High St London E1 6JJ,Configuration,Configure Firewall,Configure firewall rules and VPN tunnel to HQ,Complete,High,Sarah Jones,2025-12-07,2025-12-09,2025-12-09,T027,VPN configured
T029,S2,Pizza Express Shoreditch,56 Shoreditch High St London E1 6JJ,Configuration,Configure Switches,VLAN configuration and port assignments,Complete,High,Sarah Jones,2025-12-07,2025-12-09,2025-12-09,T026,
T030,S2,Pizza Express Shoreditch,56 Shoreditch High St London E1 6JJ,Configuration,Configure APs,SSID setup and wireless configuration,In Progress,High,Sarah Jones,2025-12-10,2025-12-12,,T025;T029,Tuning RF for thick walls
T031,S2,Pizza Express Shoreditch,56 Shoreditch High St London E1 6JJ,Configuration,POS Integration,Configure network for POS system connectivity,Not Started,Medium,Mike Chen,2025-12-13,2025-12-16,,T028;T029,
T032,S2,Pizza Express Shoreditch,56 Shoreditch High St London E1 6JJ,Testing,Network Testing,Full network connectivity and performance testing,Not Started,High,Mike Chen,2025-12-16,2025-12-18,,T030;T031,
T033,S2,Pizza Express Shoreditch,56 Shoreditch High St London E1 6JJ,Testing,Security Audit,Penetration test and security validation,Not Started,High,Sarah Jones,2025-12-18,2025-12-20,,T032,
T034,S2,Pizza Express Shoreditch,56 Shoreditch High St London E1 6JJ,Handover,Client Sign-off,Customer acceptance and documentation handover,Not Started,High,Mike Chen,2025-12-21,2025-12-23,,T033,
T035,S3,Pizza Express Brixton,22 Brixton Rd London SW9 6AP,Planning,Site Survey,Initial site survey and measurements for network infrastructure,Complete,High,Mike Chen,2025-11-11,2025-11-15,2025-11-14,,New build - clean install
T036,S3,Pizza Express Brixton,22 Brixton Rd London SW9 6AP,Planning,Network Design,Design network topology and access point placement,Complete,High,Sarah Jones,2025-11-16,2025-11-22,2025-11-21,T035,Standard layout design
T037,S3,Pizza Express Brixton,22 Brixton Rd London SW9 6AP,Ordering,Order Switches,Procure Cisco Meraki MS120-8 switches x3,Complete,High,James Wilson,2025-11-18,2025-11-25,2025-11-24,T036,PO-2025-0911
T038,S3,Pizza Express Brixton,22 Brixton Rd London SW9 6AP,Ordering,Order Access Points,Procure Cisco Meraki MR46 APs x6,Complete,High,James Wilson,2025-11-18,2025-11-25,2025-11-23,T036,PO-2025-0912
T039,S3,Pizza Express Brixton,22 Brixton Rd London SW9 6AP,Ordering,Order Firewall,Procure Cisco Meraki MX68 firewall x1,Complete,High,James Wilson,2025-11-18,2025-11-25,2025-11-24,T036,PO-2025-0913
T040,S3,Pizza Express Brixton,22 Brixton Rd London SW9 6AP,Ordering,Order Cabling,Cat6a cabling and trunking materials,Complete,Medium,James Wilson,2025-11-20,2025-11-27,2025-11-26,T035,450m Cat6a
T041,S3,Pizza Express Brixton,22 Brixton Rd London SW9 6AP,Installation,Cable Installation,Run Cat6a cabling to all AP and switch locations,In Progress,High,Dave Brown,2025-12-05,2025-12-12,,T040,12 of 18 runs complete
T042,S3,Pizza Express Brixton,22 Brixton Rd London SW9 6AP,Installation,Mount Access Points,Install and mount all 6 access points,Not Started,High,Dave Brown,2025-12-13,2025-12-15,,T038;T041,
T043,S3,Pizza Express Brixton,22 Brixton Rd London SW9 6AP,Installation,Install Switches,Rack and install switches in comms cabinet,Not Started,High,Dave Brown,2025-12-13,2025-12-15,,T037;T041,
T044,S3,Pizza Express Brixton,22 Brixton Rd London SW9 6AP,Installation,Install Firewall,Install and connect MX68 firewall,Not Started,High,Dave Brown,2025-12-13,2025-12-15,,T039;T043,
T045,S3,Pizza Express Brixton,22 Brixton Rd London SW9 6AP,Configuration,Configure Firewall,Configure firewall rules and VPN tunnel to HQ,Not Started,High,Sarah Jones,2025-12-16,2025-12-18,,T044,
T046,S3,Pizza Express Brixton,22 Brixton Rd London SW9 6AP,Configuration,Configure Switches,VLAN configuration and port assignments,Not Started,High,Sarah Jones,2025-12-16,2025-12-18,,T043,
T047,S3,Pizza Express Brixton,22 Brixton Rd London SW9 6AP,Configuration,Configure APs,SSID setup and wireless configuration,Not Started,High,Sarah Jones,2025-12-18,2025-12-20,,T042;T046,
T048,S3,Pizza Express Brixton,22 Brixton Rd London SW9 6AP,Configuration,POS Integration,Configure network for POS system connectivity,Not Started,Medium,Mike Chen,2025-12-20,2025-12-23,,T045;T046,
T049,S3,Pizza Express Brixton,22 Brixton Rd London SW9 6AP,Testing,Network Testing,Full network connectivity and performance testing,Not Started,High,Mike Chen,2025-12-23,2025-12-27,,T047;T048,
T050,S3,Pizza Express Brixton,22 Brixton Rd London SW9 6AP,Testing,Security Audit,Penetration test and security validation,Not Started,High,Sarah Jones,2025-12-27,2025-12-30,,T049,
T051,S3,Pizza Express Brixton,22 Brixton Rd London SW9 6AP,Handover,Client Sign-off,Customer acceptance and documentation handover,Not Started,High,Mike Chen,2025-12-31,2026-01-03,,T050,
T052,S4,Pizza Express Islington,102 Upper St London N1 1QN,Planning,Site Survey,Initial site survey and measurements for network infrastructure,Complete,High,Mike Chen,2025-11-18,2025-11-22,2025-11-21,,Basement level comms room
T053,S4,Pizza Express Islington,102 Upper St London N1 1QN,Planning,Network Design,Design network topology and access point placement,Complete,High,Sarah Jones,2025-11-23,2025-11-29,2025-11-28,T052,Multi-floor design required
T054,S4,Pizza Express Islington,102 Upper St London N1 1QN,Ordering,Order Switches,Procure Cisco Meraki MS120-8 switches x4,In Progress,High,James Wilson,2025-12-01,2025-12-08,,T053,PO-2025-0921 awaiting confirmation
T055,S4,Pizza Express Islington,102 Upper St London N1 1QN,Ordering,Order Access Points,Procure Cisco Meraki MR46 APs x7,In Progress,High,James Wilson,2025-12-01,2025-12-08,,T053,PO-2025-0922 awaiting confirmation
T056,S4,Pizza Express Islington,102 Upper St London N1 1QN,Ordering,Order Firewall,Procure Cisco Meraki MX68 firewall x1,In Progress,High,James Wilson,2025-12-01,2025-12-08,,T053,PO-2025-0923
T057,S4,Pizza Express Islington,102 Upper St London N1 1QN,Ordering,Order Cabling,Cat6a cabling and trunking materials,Not Started,Medium,James Wilson,2025-12-03,2025-12-10,,T052,
T058,S4,Pizza Express Islington,102 Upper St London N1 1QN,Installation,Cable Installation,Run Cat6a cabling to all AP and switch locations,Not Started,High,Dave Brown,2025-12-15,2025-12-22,,T057,
T059,S4,Pizza Express Islington,102 Upper St London N1 1QN,Installation,Mount Access Points,Install and mount all 7 access points,Not Started,High,Dave Brown,2025-12-23,2025-12-27,,T055;T058,
T060,S4,Pizza Express Islington,102 Upper St London N1 1QN,Installation,Install Switches,Rack and install switches in comms cabinet,Not Started,High,Dave Brown,2025-12-23,2025-12-27,,T054;T058,
T061,S4,Pizza Express Islington,102 Upper St London N1 1QN,Installation,Install Firewall,Install and connect MX68 firewall,Not Started,High,Dave Brown,2025-12-23,2025-12-27,,T056;T060,
T062,S4,Pizza Express Islington,102 Upper St London N1 1QN,Configuration,Configure Firewall,Configure firewall rules and VPN tunnel to HQ,Not Started,High,Sarah Jones,2025-12-28,2025-12-30,,T061,
T063,S4,Pizza Express Islington,102 Upper St London N1 1QN,Configuration,Configure Switches,VLAN configuration and port assignments,Not Started,High,Sarah Jones,2025-12-28,2025-12-30,,T060,
T064,S4,Pizza Express Islington,102 Upper St London N1 1QN,Configuration,Configure APs,SSID setup and wireless configuration,Not Started,High,Sarah Jones,2025-12-31,2026-01-03,,T059;T063,
T065,S4,Pizza Express Islington,102 Upper St London N1 1QN,Configuration,POS Integration,Configure network for POS system connectivity,Not Started,Medium,Mike Chen,2026-01-03,2026-01-07,,T062;T063,
T066,S4,Pizza Express Islington,102 Upper St London N1 1QN,Testing,Network Testing,Full network connectivity and performance testing,Not Started,High,Mike Chen,2026-01-07,2026-01-10,,T064;T065,
T067,S4,Pizza Express Islington,102 Upper St London N1 1QN,Testing,Security Audit,Penetration test and security validation,Not Started,High,Sarah Jones,2026-01-10,2026-01-14,,T066,
T068,S4,Pizza Express Islington,102 Upper St London N1 1QN,Handover,Client Sign-off,Customer acceptance and documentation handover,Not Started,High,Mike Chen,2026-01-14,2026-01-17,,T067,
T069,S5,Pizza Express Greenwich,31 Greenwich Church St London SE10 9BJ,Planning,Site Survey,Initial site survey and measurements for network infrastructure,Complete,High,Mike Chen,2025-11-25,2025-11-29,2025-11-28,,Large format restaurant
T070,S5,Pizza Express Greenwich,31 Greenwich Church St London SE10 9BJ,Planning,Network Design,Design network topology and access point placement,In Progress,High,Sarah Jones,2025-12-01,2025-12-07,,T069,Complex layout with outdoor terrace
T071,S5,Pizza Express Greenwich,31 Greenwich Church St London SE10 9BJ,Ordering,Order Switches,Procure Cisco Meraki MS120-8 switches x4,Not Started,High,James Wilson,2025-12-08,2025-12-15,,T070,
T072,S5,Pizza Express Greenwich,31 Greenwich Church St London SE10 9BJ,Ordering,Order Access Points,Procure Cisco Meraki MR46 APs x8 + MR86 outdoor x2,Not Started,High,James Wilson,2025-12-08,2025-12-15,,T070,Includes outdoor rated APs
T073,S5,Pizza Express Greenwich,31 Greenwich Church St London SE10 9BJ,Ordering,Order Firewall,Procure Cisco Meraki MX68 firewall x1,Not Started,High,James Wilson,2025-12-08,2025-12-15,,T070,
T074,S5,Pizza Express Greenwich,31 Greenwich Church St London SE10 9BJ,Ordering,Order Cabling,Cat6a cabling and trunking materials,Not Started,Medium,James Wilson,2025-12-10,2025-12-17,,T069,
T075,S5,Pizza Express Greenwich,31 Greenwich Church St London SE10 9BJ,Installation,Cable Installation,Run Cat6a cabling to all AP and switch locations,Not Started,High,Dave Brown,2026-01-05,2026-01-14,,T074,
T076,S5,Pizza Express Greenwich,31 Greenwich Church St London SE10 9BJ,Installation,Mount Access Points,Install and mount all 10 access points,Not Started,High,Dave Brown,2026-01-15,2026-01-19,,T072;T075,
T077,S5,Pizza Express Greenwich,31 Greenwich Church St London SE10 9BJ,Installation,Install Switches,Rack and install switches in comms cabinet,Not Started,High,Dave Brown,2026-01-15,2026-01-19,,T071;T075,
T078,S5,Pizza Express Greenwich,31 Greenwich Church St London SE10 9BJ,Installation,Install Firewall,Install and connect MX68 firewall,Not Started,High,Dave Brown,2026-01-15,2026-01-19,,T073;T077,
T079,S5,Pizza Express Greenwich,31 Greenwich Church St London SE10 9BJ,Configuration,Configure Firewall,Configure firewall rules and VPN tunnel to HQ,Not Started,High,Sarah Jones,2026-01-20,2026-01-22,,T078,
T080,S5,Pizza Express Greenwich,31 Greenwich Church St London SE10 9BJ,Configuration,Configure Switches,VLAN configuration and port assignments,Not Started,High,Sarah Jones,2026-01-20,2026-01-22,,T077,
T081,S5,Pizza Express Greenwich,31 Greenwich Church St London SE10 9BJ,Configuration,Configure APs,SSID setup and wireless configuration,Not Started,High,Sarah Jones,2026-01-22,2026-01-26,,T076;T080,
T082,S5,Pizza Express Greenwich,31 Greenwich Church St London SE10 9BJ,Configuration,POS Integration,Configure network for POS system connectivity,Not Started,Medium,Mike Chen,2026-01-26,2026-01-29,,T079;T080,
T083,S5,Pizza Express Greenwich,31 Greenwich Church St London SE10 9BJ,Testing,Network Testing,Full network connectivity and performance testing,Not Started,High,Mike Chen,2026-01-29,2026-02-02,,T081;T082,
T084,S5,Pizza Express Greenwich,31 Greenwich Church St London SE10 9BJ,Testing,Security Audit,Penetration test and security validation,Not Started,High,Sarah Jones,2026-02-02,2026-02-05,,T083,
T085,S5,Pizza Express Greenwich,31 Greenwich Church St London SE10 9BJ,Handover,Client Sign-off,Customer acceptance and documentation handover,Not Started,High,Mike Chen,2026-02-05,2026-02-09,,T084,
